분류,글귀
믿는대로 생각대로 믿고 믿음을 믿는 노력하는 노력하고 노력해서 실천하는 실천을 자신감을 생각하는대로,당신이 할 수 있다고 믿든 할 수 없다고 믿든 믿는대로 될 것이다. 헨리 포드
믿음을 믿고 믿는 믿음 포기하고 포기하는 의지를 꾸준히 꾸준하게 꾸준한 인내심이 인내를 인내심을,세상에 잘못된 결정은 없다. 끝까지 포기하지 않는다면. 보도 섀퍼
인내심을 인내하고 인내하는 포기하는 극복하고 극복하는 절망적인 불안한 불안해서 불안한 고민이 고민을 고민되는,성공의 비결은 좌절하지 않고 극복하는 데 있다. 발자크
꾸준히 꾸준한 꾸준하게 노력하는 노력하고 행동을 실천을 실천하는 의지를 의지박약인 매일매일 실행하는,매일매일 꾸준하게 노력하고 행동하라. 그랜트 카돈
노력하는 노력하고 꾸준히 꾸준한 꾸준하게 의지를 의지박약인 실천하는 성장을 성장하고 실행하는 행동하고,"오늘 당신이 하는 것은, 당신의 내일을 성장시킬 수 있다."
행동을 실천을 의욕이 변화를 변화시키고 변화가 성장하는 성장하고 지금 당장,"오늘 당신의 인생을 변화시켜라. 미래에 모험을 걸려고 하지 말고, 지금 행동하라. 지체 없이."
목표설정을 목표를 시작하고 의욕을 의욕이 도전하는 도전하고 실행을 실행하는 행동을 행동하는,목표를 설정하는 것은 보이지 않는 것을 보이는 것으로 바꿔주는 첫번째 단계다.
진심을 진심으로 노력하는 노력하고 노력해서 성공을 꾸준히 꾸준하게 인내하고 인내하는 열정을 의지를 의지박약인,당신의 온 마음을 다해 일하면 당신은 성공할 것이다.
성장하고 성장을 힘들어서 힘들고 힘들어 힘든 힘들다는 좌절감을 좌절하는 절망감을 절망을 절망하게 절망하는,성장과 편안함은 한 방에 있을 수 없습니다. 조슈아 필즈 밀번
자아성찰을 반성을 반성하는 반성하고 자기반성을,내가 생각해도 한 번쯤 만나보고 싶은 사람이 되세요.
열정을 열정이 참고 참는 견디는 견딜 견뎌 버티고 버티는 버텨서 버틸 꾸준히 꾸준하게,포기하고 싶어지면 애초에 왜 그렇게 오래 버텼는지를 기억하세요.
도전하는 도전을 도전적인 참고 참는 견디는 견딜 견뎌 버티고 버티는 버틸 꾸준히 꾸준하게,"멈추고 싶을 때면, 시작했던 이유를 생각해보세요."
후회하는 후회가 후회하고 힘든 힘들어서 나약한 나약해서 나약함을 지나온 버텨온 버틴,"인생에 후회는 없습니다. 당신에게 일어나는 모든 일은 이유가 있습니다. 지나온 힘든 시간은 성격을 만들고, 나를 훨씬 강력한 사람으로 만들어줍니다. 리타 메로"
믿음을 믿고 믿는 믿음 의지를 의지박약인 의욕이 의욕저하 자신감 자신감을 자신감이,나는 할 수 있고 해낼 겁니다.
생각대로 생각이 생각하는대로 행동을 행동이 마인드를 마인드가 마음가짐이 마음가짐을 태도가 태도를 태도는,사람은 생각하는 대로 됩니다. 사람은 자신이 느끼는 것을 끌어당깁니다. 사람은 상상하는 것을 창조합니다. 부처
자아성찰을 반성을 자시반성을 반성하는 반성하고 반성 마인드가 마인드를 마음가짐이 마음가짐을 태도가 태도를,우리는 나이가 들면서 변하는 게 아니다. 보다 자기 다워지는 것이다. 린홀
게으르게 게으르지 게을러 게을러서 게으른 게으름 보상을 보상받고 결과과 결과를 열심히 부지런히 대가를,"게으르지 않음은 영원한 삶의 집이요, 게으름은 죽음의 집이다."
긍정적으로 긍정적인 부정적인 부정적으로 마인드가 마인드를 마음가짐이 마음가짐을 믿음 믿고 믿어서 믿는,"나는 날마다, 모든 면에서, 점점 더 좋아지고 있다."
인생은 인생의 인생에서 적당한 적절한 타이밍을 타이밍이 타이밍 깨달아서 깨달은 깨달았고,인생에 뜻을 세우는데 적당한 때는 없다. 볼드윈
실패를 실패해서 실패한 실패 도전적인 도전을 도전이 의욕이 의지가 교훈을 교훈 명심해야,실패는 잊어라. 하지만 그것이 준 교훈은 절대 잊으면 안된다. 하버트 개서
행복이 행복은 행복하고 불행은 불행이 불행을 웃어서 웃는 웃고,"우리는 행복하기 때문에 웃는 게 아니라, 웃기 때문에 행복하다. 윌리엄 제임스"
자아성찰을 반성을 반성하는 반성하고 자기반성을,너 자신이 돼라. 다른 사람은 이미 있으니까. 오스카 와일드
인생은 인생의 인생에서 자신감 자신감이 자신감을 위로받고 위로하는 위로가 위로를 응원을,"인생은 가까이서 보면 비극, 멀리서 보면 희극이다. 찰리 채플린"
시간관리를 시간관리 시간을 시간에,승자는 시간을 관리하며 살고 패자는 시간에 끌려 산다. J. 하비스
인생은 인생의 인생에서 실수를 실수가 실수는 고민되고 고민된다 걱정되고 걱정된다 불안하다 불안한 불안함을,인생을 다시 산다면 다음번에는 더 많은 실수를 저지르리라. 나딘 스테어
최고가 최고를 최고의 최상의 노력하는 노력하고 결과를 결과가 열심히 열정을 열정적으로,최고에 도달하려면 최저에서 시작하라. P.시루스
배움은 배움이 배워서 배우고 인생에서 배움의,"배움은 의무도, 생존도 아니다. 애드워즈 데밍"
꾸준히 끝까지 꾸준하게 꾸준한 노력을 노력이 노력하는 노력하면 참고 견디는 견딜 행동을 실천을,행동의 가치는 그 행동을 끝까지 이루는 데 있다. 칭기스칸
행동을 실천을 의욕이 변화를 변화시키고 변화가 성장하는 성장하고 지금 당장,아무것도 하지 않으면 아무 일도 일어나지 않는다. 기시미 이치로
행동을 실천을 의욕이 변화를 변화시키고 변화가 성장하는 성장하고 지금 당장,일단 시작해라. 나중에 완벽해지면 된다. 론 무어
인생은 인생의 인생에서 시간을 시간에 참고 견디는 견딜 버티는 버티면 힘들다 힘들어서 힘든 힘드니까,겨울이 오면 봄이 멀지 않으리. 셸리
희망을 희망이 희망 의욕을 의욕이 자신감이 자신감을 자기애를 자기애가 자존감이 자존감을 믿음을 믿고,내 비장의 무기는 아직 손 안에 있다. 그것은 희망이다. 나폴레옹
위험을 위험한 무모한 무모하게 도전을 도전이 용기를 용기있는 용기있게 실천을 실행을 도전하는 도전해서,가장 큰 위험은 위험 없는 삶이다. 스티븐 코비
미루고 미뤄서 미루는 미루지 미뤘고 실천을 실행을 제때 제때에 그때그때,오늘 할 수 있는 일을 내일로 미루지 마라. 벤자민 프랭클린
위험을 위험한 무모한 무모하게 도전을 도전이 용기를 용기있는 용기있게 실천을 실행을 도전하는 도전해서,위험은 자신이 무엇을 하는지 모르는 데서 온다. 워렌 버핏
인생은 인생의 인생에서 사람들과 사람들이 인간 인간관계를 인간관계에서 관계를,모든 사람들로부터 사랑받지 않아도 된다. 니체
망설임 망설이고 망설여서 망설이니까 망설임이 망설임을 두려움이 두려워서 불안하다 불안한 걱정이 고민이,망설이면 두려움만 커진다.
성공하고 성공을 성공이 실패를 실패가 불안하다 불안한 불안감을 걱정이 걱정을 고민이 고민을,우리 자신에게 실패를 허락하는 것이 성공을 허락하는 것이다.
현재 현재를 현재에 지금을 지금 노력하는 노력하고 노력해서 의지를 의지박약인 의지가 꾸준히 꾸준하게,미래를 만드는 건 현재다.
믿음을 믿음이 믿는 믿고 자신감을 자신감이 자기애를 자존감을 자존감이 자기만족을 긍정적으로 긍정적인,못하는 일에 초점 맞추기를 그만하면 자기가 어떤 일을 할 수 있는지 알고 놀라게 될 것이다. 앨릭스 코브
인생은 인생의 인생에서 시간을 시간에 참고 견디는 견딜 버티는 버티면 힘들다 힘들어서 힘든 힘드니까,인내가 최상의 미덕이다. 카토
익숙함을 익숙함이 익숙해서 익숙한 새로움이 새로움을 새로이 새로 설레임을 설레임이 설렘을 설레서,익숙함을 당연하게 생각하지 마세요.
인생은 인생의 인생에서 삶은 삶이 삶에서 가치를 가치가 가치있는 믿음을 믿는 믿고 신뢰를 신뢰가,삶이 가치가 있다고 믿어라. 그러면 그 믿음은 현실이 될 것이다. 윌리엄 제임스
희망을 희망은 의욕적인 의욕이 의욕을 의욕없는 긍정적으로 긍정적인 긍정의,가난은 가난하다고 느끼는 곳에 존재한다. 에머슨
삶이 인생은 인생의 인생에서 희망을 희망이 용기를 용기가 용기있는 용기있게,삶이 있는 한 희망은 있다. 키케로
즐기는 즐기고 피할 피하지 피하고 수용하고 받아들이고 받아들이면 받아들이는 정면으로,피할 수 없으면 즐겨라. 로버트 엘리엇
실행을 행동을 실천을 실천하는 실천하지 노력을 노력하는 노력해서 노력하고 도전을 도전하는,계단을 밟아야 계단 위에 올라설 수 있다.
행복하고 행복할 행복은 행복이 긍정적으로 긍정적인 긍정의 의욕이 의욕없는 의지를 의지,행복은 습관이다. 허버드
도전을 도전정신을 도전하는 용기를 용기가 용기없는 실천하는 실천하고,"아무런 위험을 감수하지 않는다면, 더 큰 위험을 감수하게 될 것이다. 에리카 종"
도전하는 도전하고 도전이을 도전하는 도전하고 도전이정신을 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 실행하는 실행을 실천하는 실천을 실천이 행동하는 행동을,훌륭한 사람과 어리석은 사람의 차이는 불과 한 걸음 차이다. 나폴레옹
운명 인생은 인생이 인생에서 삶을 삶이 노력하는 노력해서 노력을 노력이 실행하는 실행을 행동하는 행동을 실천하는 실천을 실천이,정해진 것은 아무것도 없다. 정해진 운명 또한 없다. 도교
의욕이 의욕을 의욕없는 의욕상실 노력하는 노력해서 노력을 노력이 절실한 절실해서,당신의 하루하루를 당신의 마지막 날이라고 생각하라. 호라티우스
기회를 기회가 실천하는 실천을 실천이 노력하는 노력해서 노력을 노력이 행동하는 행동을,작은 기회로부터 위대한 업적이 시작된다. 데모스테네스
인생은 인생이 인생에서 노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 의지가 의지를 의지박약인,인생은 자전거를 타는 것과 같다. 쓰러지지 않으려면 뛰어야 한다. 아인슈타인
현재 지금 노력하는 노력해서 노력을 노력이 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인,미래는 지금이다. 마거릿 미드
실패가 실패를 실패하면 성공을 성공하고 결과를 결과가 노력하는 노력해서 노력을 노력이,실패는 성공을 돋보이게 하는 조미료. 트루먼 카포티
실패가 실패를 실패하면 성공을 성공하고 결과를 결과가 노력하는 노력해서 노력을 노력이,실패로부터 배울 수 있다면 그 실패는 성공이다. 말콤 포브스
꿈을 꿈이 인생은 인생이 인생에서 삶을 삶이 도전하는 도전하고 도전이 용기를 용기가,꿈을 꾸기에 인생은 빛난다. 모차르트
인생은 인생이 인생에서 삶을 삶이 길이 길을 캄캄한 캄캄하고 어둡고 어두워 어두워서,"길을 잃는다는 것은 곧, 길을 알게 되는 것이다."
인생은 인생이 인생에서 삶을 삶이 방법을 방법이 방향을 방향이 응원하는 응원하고,인생의 비결은 그것을 다루는 방법입니다. 헬렌 미렌
자기만족을 자기만족이 자기만족해서 행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까,"스스로 행복하다고 믿지 않으면, 그 누구도 행복할 수 없다. 푸블릴리우스 시루스"
시간이 시간을 시간부족이,변명 중에서 가장 어리석은 별명은 '시간이 없어서'이다. 에디슨
인연이 인연을 인연이라고 인연이라서 인간 인간관계를 인간관계가 인간관계에서 관계를 관계가 관계에서,"만남은 인연이다, 소중한 인연 소중하게 대하라."
인생은 인생이 인생에서 경험이 경험을 경험해서 경험하고 현실이 현실을 현실에서 삶을 삶이,인생은 풀어야 하는 문제가 아니라 경험해야 하는 현실이다.
인생은 인생이 인생에서 현실이 현실을 현실에서 삶을 삶이 변화가 변화를 변화하는 변화하고 노력하는 노력해서 노력을 노력이,인생은 스스로 되풀이하면서 변화하는 모습의 연속이 아닐까? 앤디 워홀
꿈을 꿈이 실천하는 실천을 실천이 실행하는 실행을 노력하는 노력해서 노력을 노력이,"꿈을 꿀 수 있다면, 그 꿈을 실현할 수 있다. 월트 디즈니"
노력하는 노력해서 노력을 노력이 실천하는 실천을 실천이 실행하는 실행을 결과를 결과가 꿈을 꿈이,오랫동안 꿈을 그리는 사람은 마침내 그 꿈을 닮아간다. 앙드레 말로
실행하는 실행을 실천하는 실천을 실천이 노력하는 노력해서 노력을 노력이 행동하는 행동을 의지가 의지를 의지박약인,"아는 것이 아니라, 하는 것이 힘이다. 우종민"
용기를 용기가 실천하는 실천을 실천이 변화가 변화를 변화하는 변화하고,"가장 필요한 용기가 있다면, 그것은 나를 기꺼이 바꿀 용기. 이동영"
성장하는 성장한 성장이 성장을 성공을 성공하고 실패가 실패를 실패하면 만족 자기만족을 자기만족이 자기만족해서,만족이 성장을 멈추게 한다. 필립스 브룩스
인생은 인생이 인생에서 길이 길을 노력하는 노력해서 노력을 노력이 삶을 삶이,길이란 정해진 것이 아니다. 가다보면 길이 생기는 법. 그것이 바로 길이다. 루쉰
삶을 삶이 인생은 인생이 인생에서 용기를 용기가 수용하는 수용할 수용해서,"원하는 삶을 살기 위해, 원하지 않는 삶을 기꺼이 받아들이는 용기를 얻어라."
후회하는 후회하고 후회해서 노력하는 노력해서 노력을 노력이 인생은 인생이 인생에서 삶을 삶이,후회하기 싫으면 그렇게 살지말고 그렇게 살거면 후회하지 마라. 무라카미 하루키
방향을 방향이 노력하는 노력해서 노력을 노력이 천천히 꾸준히 꾸준하게,인생은 속도가 아니라 방향이다.
주저하는 주저하고 주저하게 망설이는 망설이고 망설일때 망설이게 실행하는 실행을 실천하는 실천을 실천이 행동하는 행동을,"덜 생각하고, 더 실행에 옮기세요."
이별을 이별하고 이별했는데 이별이 헤어짐이 헤어짐을 헤어져서 헤어 슬프고 슬퍼서 아프고 아파서 아픈,"슬픔은 나약함이 드러난 것도, 믿음이 부족한 것도 아니다. 그저 사랑의 대가일 뿐이다."
아량이 아량을 이해가 이해를 이해되는 이해할 배려하는 배려해서 배려를 배려심을 배려심이,큰 마음이 큰 영혼을 키운다.
외로움이 외로움을 그리움이 그리움을 그리워서 극복을 극복하고 극복하는 헤어짐이 헤어짐을 헤어져서 헤어,외로움을 극복한 사람만이 당당하게 홀로 설 수 있다.
인생은 인생이 인생에서 결과를 결과가 과정 노력하는 노력해서 노력을 노력이,"눈 앞의 꽃만 보지 말고, 꽃이 피기까지 그의 일생을 들여다보라. 그도 비바람에 많이 아팠다."
마음 인생은 인생이 인생에서 삶을 삶이 자아성찰,마음을 다스린다는 것은 마음의 생사여탈권을 내가 쥐고 주인공으로 사는 것을 뜻합니다.
인내 순응 수용하는 수용할 수용해서 꾸준히 꾸준하게 노력하는 노력해서 노력을 노력이,참고 기다리며 순응하지 않고 한 송이 꽃인들 피울 수 있는가?
불운 행운 불행을 불행을 불행해서 불행하니까 행복을 행복이 행복해서 행복한 어려운 다행,어려운 일이 닥치면 이런 마음을 가지세요. '어쩌면 내게 더 큰 일이 생길 수도 있었는데 이 정도여서 정말 다행입니다.' 그러면 불운조차 행운이 됩니다.
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 불운 고통 성장하는 성장한 성장이 성장을,행복의 이유를 밖에서 찾으면 한없이 가난하게 느껴지지만 내 안에서 찾으면 우리 모두는 엄청난 부자가 될 수 있다.
인생은 인생이 인생에서 삶을 삶이 고통 힘들 힘든 성장하는 성장한 성장이 성장을 배움을 배움이,한 그루의 나무가 나이테 한 줄을 키울 때 고통을 경험하듯 우리의 삶도 고통을 통해 성장하고 배운다.
결점을 결점이 단점을 단점이 증오를 증오하지 증오가 증오심이 증오심을,"증오심은 미운 사람의 결점은 크게 보게 하고, 장점은 무시하게 만든다."
자기위로를 자기위로하는 위로를 위로받고 위로하는 위로가,오늘은 귀한 손님을 대접하듯 자신에게 한 잔의 차를 대접하세요.
게으르지 게으른 게을러서 게으르게 게으름을 열심히 노력하는 노력해서 노력을 노력이,한 번 게으름을 허락하면 그 게으름은 어떤 구실로든지 떠나려 하지 않는다.
마음을 마음이 마음가짐이 마음가짐을을 마음가짐이 마음가짐을이 ,어떻게 보이고 싶다고 해서 그렇게 보여지는 것이 아니다. 보는 사람이 어떻게 보느냐에 따라 삼각산이 뾰족하게도 보이고 둥글게도 보이는 것이다.
용서를 용서하는 용서해서 용서할 미움 증오를 증오하지 증오가 증오심이 증오심을 미워하 미워,용서가 힘든 것은 나를 넘어서는 일이기 때문이다.
타인 용서를 용서하는 용서해서 용서할 배려하는 배려를 배려가 배려심이 이해가 이해를 이해되는 이해할,모름지기 자기에게는 엄하고 다른 사람에게는 자비를 베푸는 삶이라야 향기가 납니다.
자기만족을 자기만족이 자기만족해서 행복을 행복이 행복해서 행복한 불행해서 불행하니까 위로를 위로받고,"우리는 자신을 가여운 사람으로 만들 수도, 행복한 사람으로 만들 수도 있다. 사실 둘 다 드는 힘은 똑같다."
두려움을 두려움이 두려워서 불안한 불안해서 불안감을 불안감이 고민을 고민이 걱정을 걱정이 걱정되는,다른 사람들이 해낸 일을 당신은 할 수 없다고 말하는 존재는 다름 아닌 마음 깊숙이에서 당신을 대신해 말하고 있는 두려움이다.
노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 의지가 의지를 의지박약인 포기 실패가 실패를 실패하면 성공을 성공하고,당신이 실패하는 유일한 길은 노력을 포기하는 것임을 기억하라. 포기하지 않으면 실패가 아니다.
시작이 시작을 행동하는 행동을 실천하는 실천을 실천이 실행하는 실행을,떨리면 떨면서라도 시작하라. 하지만 반드시 시작해야만 한다.
최선을 노력하는 노력해서 노력을 노력이 삶을 삶이,"작은 하나하나의 삶의 현장에서 최선을 다하는 것, 그것만이 우리 삶의 의미를 일깨워주고 우리의 존재를 확인시켜주는 최고의 선이다."
이해가 이해를 이해되는 이해할 배려 증오를 증오하지 증오가 증오심이 증오심을 저주하는 저주하고,"주면 받는다는 원칙이 있다. 그러므로 남을 저주하면, 나한테 저주가 오는 것이 당연한 귀결이다. 우리는 우리가 원하는 물건에 대해서는 언제나 그 값을 치러야하는 것처럼, 남에게 영향을 끼쳤다면 반드시 그 대가가 내게 되돌아오고 만다. 에머슨"
사랑하는 사랑이 사랑은 이별을 이별하고 이별했는데 이별이 헤어 헤어지 헤어짐이 헤어짐을 헤어져서,사랑이 깨지는 것보다 더 두려운 것은 사랑이 변하는 것이다. 니체
사랑하는 사랑이 사랑은 이해가 이해를 이해되는 이해할 배려를 배려하는 배려해서 배려심이,"원하는 것이 없는 사랑, 이것이 우리 영혼의 가장 높고, 가장 바람직한 경지이다. 헤르만 헤세"
응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 긍정적인 긍정적으로 긍정의 미래,"괜찮아, 괜찮아, 반드시 잘 될거야."
믿는 믿어서 믿는데 믿고 자기만족을 자기만족이 자기만족해서 긍정적인 긍정적으로 긍정의,나는 매력적이고 아름답다. 나만의 매력으로 빛나고 있다.
긍정적인 긍정적으로 긍정의 응원하는 응원하고 의욕이 의욕을 의욕없는 의욕상실 위로를 위로가,있는 그대로의 나라도 괜찮아.
용기를 용기가 성공을 성공하고 두려움을 두려움이 두려워서 실패가 실패를 실패하면 마음가짐이 마음가짐을 태도를 태도가,"용기는 우리를 성공으로 이끌고, 두려움은 우리를 실패로 이끈다."
용기를 용기가 성공을 성공하고 시작이 시작을 실천하는 실천을 실천이 태도를 태도가,신은 용기 있는 사람을 결코 버리지 않는다.
용기를 용기가 도전하는 도전하고 도전이 시작이 시작을 실천하는 실천을 실천이 실행하는 실행을 태도를 태도가,돈을 잃는 것은 가벼운 손실이고 명예를 잃는 것은 중대한 손실이다. 그러나 용기를 잃는 것은 보상 받을 수 없는 손실이다.
인생은 인생이 인생에서 희망을 희망이 희망 의욕이 의욕을 의욕없는 의욕상실 응원하는 응원하고 위로를 위로가,위대한 희망이 사그라지는 것은 해가 지는 것과 같다. 그것은 인생의 빛이 사라지는 것과 다름없다. 매일 희망이라는 태양이 떠오르게 하자.
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 불운 성장하는 성장한 성장이 성장을 위로를 위로가,커다란 행복을 느끼려면 큰 고통과 불행을 먼저 가져야 한다. 그렇지 않으면 이게 행복인지 어떻게 알겠는가.
불행을 불행을 불행해서 불행하니까 인생은 인생이 인생에서 삶을 삶이 행복을 행복이 행복해서 행복한 위로를 위로가,인생이라는 학교에는 불행이라는 훌륭한 스승이 있다. 그 스승 덕분에 우리는 더욱 단련된다.
노력하는 노력해서 노력을 노력이 실천하는 실천을 실천이 실행하는 실행을 인생은 인생이 인생에서 시작이 시작을,내 인생의 방해자는 언제나 나 자신이었다.
긍정적인 긍정적으로 긍정의 부정적 고민을 고민이 불안한 불안해서 불안감을 불안감이 걱정을 걱정이 걱정되는,"나는 왜 되는 일이 없을까?' 살면서 자주 이런 고민을 한다. 그런데 생각해보면 되는 일이 없었던 것이 아니라, 되게 한 일이 없었다는 것을 알 수 있다."
그리움이 그리움을 그리워서 그리워 그립고 그리운 진심으로 진심은 진심이 인간관계에서 인간관계는,"이유 없이 안기고 싶을 때가 있는 것처럼, 가끔은 마음이 통하는 사람이 그립다."
실천하는 실천을 실천이 실행하는 실행을 행동하는 행동을 계획은 계획을 계획이 노력하는 노력해서 노력을 노력이,"생각만 하는 사람의 삶은 스스로 공부하는 삶에 비하면 사소하고, 보이지 않는 것을 보기 위해 발돋움하고 바라보는 일은 실제로 올라가 바라보는 것만 못하다."
인생은 인생이 인생에서 의지가 의지를 의지박약인 의욕이 의욕을 의욕없는 의욕상실 마인드를 마인드가 마인드로,"뜻은 높은 곳에, 마음은 낮은 곳에 두라."
두려움을 두려움이 두려워서 불안한 불안해서 불안감이 고민이 걱정을 걱정이 걱정되는 의지가 의지를 의지박약인,"다가오는 두려움을 피하지 않고, 찬찬히 섬세하게 들여다볼 수 있다면, 어떤 거친 흐름 앞에서도 당당할 수 있다."
배움을 배움이 배워서 배우는게 인간관계에서 인간관계는 인생은 인생이 인생에서 삶을 삶이,"한 사람만 만나도, 자연의 한 풍경만 스쳐도, 우리가 존경할 것이 가득하다."
실패가 실패를 실패하면 도전하는 도전하고 도전이 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실,실패란 인생이라는 여정에서 단지 게임에서 한 판 진 것일 뿐. 다시 일어서서 즐기자.
위로를 위로가 의욕이 의욕을 의욕없는 의욕상실 의지가 의지를 의지박약인 마인드를 마인드가 마인드로,세상에 아프지 않은 사람은 없다. 단지 덜 아픈 사람이 위로할 뿐이다.
마음이 마음을 마음가짐이 마음가짐을 마음상태가 마음상태를,내 기분이 좋으면 세상이 좋아보이는 것이다. 어찌 보면 세상은 내 마음의 눈만큼 보이는지도 모른다.
행동하는 행동을 증명 실천하는 실천을 실천이 실행하는 실행을 태도를 태도가 말보다,말하지 말고 행동하세요. 말하지 말고 보여주세요. 약속하지 말고 증명하세요.
마음이 마음을 아픈 아파서 아프고 슬픈 슬퍼서,늘 태평해 보이는 사람도 마음의 밑바닥을 둘러보면 어디에선가 슬픈 소리가 난다. 나쓰메 소세키
행복을 행복이 행복해서 행복한 불행을 불행을 불행해서 불행하니까 행운을 행운이 극복하고 극복하는 괴로워서,행복만을 추구하는 마음이 비극을 불러들입니다. 행복은 슬픔과 괴로움을 극복한 마음이 만들어내는 것입니다. 마하트마 간디
삶을 삶이 인생은 인생이 인생에서 방향을 방향이 꾸준히 꾸준하게 의지가 의지를 의지박약인,삶이란 끝없이 옆길로 새는 것이다. 원래 어디로 향하려 했는지 돌아보는 것조차 허용되지 않는다. 프란츠 카프카
참고 참는 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이 경험이 경험을 경험해서 경험하고 치유,고뇌는 그것을 처음부터 끝까지 모조리 경험해야만 치유된다. 마르셀 프루스트
위로 용기를 용기가 의욕이 의욕을 의욕없는 의욕상실 저하되는 저하되어,모두가 이기는 것이 좋다는 말을 들어왔다. 하지만 나는 이렇게 말하고 싶다. 지는 것도 좋다고. 윌터 휘트먼
절망적인 불운이 불행을 불행이 불행해서 불행하니까 시작이 시작을 태도를 태도가,절망은 사람들이 절대적인 것을 찾아내기 위한 참된 출발점이다. 키르케고르
아픈 아파서 아프고 아픔 슬픈 슬퍼서 슬픔이 버티고 버텨 버티는 견디고 견뎌서 견디는,모든 슬픔은 그것을 이야기로 만들거나 그것에 대해 이야기 할 수 있다면 견뎌질 수 있다. 이자크 디녜센
환경이 배경이 어둡고 어두워 캄캄한 캄캄하고 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이,깨끗한 것은 언제나 더러운 것 속에서 생겨나며 눈부시게 빛나는 것은 언제나 어둠 속에서 생겨난다. 채근담
목표가 목표를 목표설정이 목표설정을 의욕이 의욕을 의욕없는 의욕상실 도전하는 도전하고 도전이,목표가 확실한 사람은 아무리 거친 길에서도 앞으로 나갈 수 있지만 목표가 없는 사람은 아무리 좋은 길이라도 앞으로 나갈 수 없다. 토머스 칼라일
도전하는 도전하고 도전이 의욕이 의욕을 의욕없는 의욕상실 용기를 용기가 실행하는 실행을 실천하는 실천을 실천이,나는 항상 내가 할 수 없는 것을 한다. 그렇게 하면 할 수 있게 되기 때문이다. 파블로 피카소
고민을 고민이 진실을 진실이 진실은 거짓을 거짓이 거짓은,어떻게 말할까'하고 괴로울 때는 진실을 말하라. 마크 트웨인
자기애가 자기애를 자기애는 자기만족을 자기만족이 자기만족해서 믿는 믿어서 믿는데 믿고 마인드를 마인드가 마인드로,자신을 향해 웃는 것은 살면서 배워야 할 가장 중요한 능력이다. 캐서린 맨스필드
열정이 꾸준히 꾸준하게 의지가 의지를 의지박약인 노력하는 노력해서 노력을 노력이,정열은 강이나 바다와 비슷하다. 얕은 것은 소리를 내지만 깊은 것은 침묵을 지킨다. 알베르 카뮈
일상 노력하는 노력해서 노력을 노력이 꾸준히 꾸준하게 계속 변화가 변화를 변화하는 변화하고 작은,큰 변화를 꿈꿀 때 일상의 작은 변화들을 결코 무시해서는 안된다. 일상의 작은 변화들이 쌓여 전혀 예기치 못한 큰 변화가 이루어진다. 라이트 이델먼
