분류,글귀
위험 행동 실천 실행 도전 용기,"아무런 위험을 감수하지 않는다면, 더 큰 위험을 감수하게 될 것이다. 에리카 종"
도전 용기 의욕 실행 실천 행동,훌륭한 사람과 어리석은 사람의 차이는 불과 한 걸음 차이다. 나폴레옹
운명 인생 삶 노력 실행 행동 실천,정해진 것은 아무것도 없다. 정해진 운명 또한 없다. 도교
의욕 노력 절실,당신의 하루하루를 당신의 마지막 날이라고 생각하라. 호라티우스
기회 실천 노력 행동 시작,작은 기회로부터 위대한 업적이 시작된다. 데모스테네스
인생 노력 꾸준 의지,인생은 자전거를 타는 것과 같다. 쓰러지지 않으려면 뛰어야 한다. 아인슈타인
현재 노력 의욕 의지,미래는 지금이다. 마거릿 미드
실패 성공 결과 노력,실패는 성공을 돋보이게 하는 조미료. 트루먼 카포티
실패 성공 결과 노력,실패로부터 배울 수 있다면 그 실패는 성공이다. 말콤 포브스
꿈 인생 삶 도전 용기,꿈을 꾸기에 인생은 빛난다. 모차르트
인생 삶 길 캄캄 어두,"길을 잃는다는 것은 곧, 길을 알게 되는 것이다."
인생 삶 방법 방향 응원,인생의 비결은 그것을 다루는 방법입니다. 헬렌 미렌
자기만족 행복 불행,"스스로 행복하다고 믿지 않으면, 그 누구도 행복할 수 없다. 푸블릴리우스 시루스"
시간이 시간부족 시간,변명 중에서 가장 어리석은 별명은 '시간이 없어서'이다. 에디슨
인연 인간 인간관계 관계,"만남은 인연이다, 소중한 인연 소중하게 대하라."
인생 경험 현실 삶,인생은 풀어야 하는 문제가 아니라 경험해야 하는 현실이다.
인생 현실 삶 변화 노력,인생은 스스로 되풀이하면서 변화하는 모습의 연속이 아닐까. 앤디 워홀
꿈 실천 실행 노력,"꿈을 꿀 수 있다면, 그 꿈을 실현할 수 있다. 월트 디즈니"
노력 실천 실행 결과 꿈,오랫동안 꿈을 그리는 사람은 마침내 그 꿈을 닮아간다. 앙드레 말로
실행 실천 노력 행동 의지,"아는 것이 아니라, 하는 것이 힘이다. 우종민"
용기 실천 변화,"가장 필요한 용기가 있다면, 그것은 나를 기꺼이 바꿀 용기. 이동영"
성장 성공 실패 만족 자기만족,만족이 성장을 멈추게 한다. 필립스 브룩스
인생 길 노력 삶,길이란 정해진 것이 아니다. 가다보면 길이 생기는 법. 그것이 바로 길이다. 루쉰
삶 인생 용기 수용,"원하는 삶을 살기 위해, 원하지 않는 삶을 기꺼이 받아들이는 용기를 얻어라."
후회 노력 인생 삶,후회하기 싫으면 그렇게 살지말고 그렇게 살거면 후회하지 마라. 무라카미 하루키
방향 노력 천천히 꾸준,인생은 속도가 아니라 방향이다.
주저 망설 실행 실천 행동 시작,"덜 생각하고, 더 실행에 옮기세요."
이별 헤어짐 헤어 슬프 슬퍼 아프 아파,"슬픔은 나약함이 드러난 것도, 믿음이 부족한 것도 아니다. 그저 사랑의 대가일 뿐이다."
아량 이해심 이해 배려 배려심,큰 마음이 큰 영혼을 키운다.
외로움 그리움 극복 헤어짐 헤어,외로움을 극복한 사람만이 당당하게 홀로 설 수 있다.
인생 결과 과정 노력,"눈 앞의 꽃만 보지 말고, 꽃이 피기까지 그의 일생을 들여다보라. 그도 비바람에 많이 아팠다."
마음 인생 삶 자아성찰,마음을 다스린다는 것은 마음의 생사여탈권을 내가 쥐고 주인공으로 사는 것을 뜻합니다.
인내 순응 수용 꾸준 노력,참고 기다리며 순응하지 않고 한 송이 꽃인들 피울 수 있는가
불운 행운 불행 행복 어려운 다행,어려운 일이 닥치면 이런 마음을 가지세요. '어쩌면 내게 더 큰 일이 생길 수도 있었는데 이 정도여서 정말 다행입니다.' 그러면 불운조차 행운이 됩니다.
행복 불행 불운 고통 성장,행복의 이유를 밖에서 찾으면 한없이 가난하게 느껴지지만 내 안에서 찾으면 우리 모두는 엄청난 부자가 될 수 있다.
인생 삶 고통 힘들 힘든 성장 배움,한 그루의 나무가 나이테 한 줄을 키울 때 고통을 경험하듯 우리의 삶도 고통을 통해 성장하고 배운다.
결점 단점 증오,"증오심은 미운 사람의 결점은 크게 보게 하고, 장점은 무시하게 만든다."
자기위로 위로,오늘은 귀한 손님을 대접하듯 자신에게 한 잔의 차를 대접하세요.
게으르 게을 게으름 열심 노력,한 번 게으름을 허락하면 그 게으름은 어떤 구실로든지 떠나려 하지 않는다.
마음 마음가짐,어떻게 보이고 싶다고 해서 그렇게 보여지는 것이 아니다. 보는 사람이 어떻게 보느냐에 따라 삼각산이 뾰족하게도 보이고 둥글게도 보이는 것이다.
용서 미움 증오 미워하 미워,용서가 힘든 것은 나를 넘어서는 일이기 때문이다.
타인 용서 배려 이해,모름지기 자기에게는 엄하고 다른 사람에게는 자비를 베푸는 삶이라야 향기가 납니다.
자기만족 행복 불행 위로 반성,"우리는 자신을 가여운 사람으로 만들 수도, 행복한 사람으로 만들 수도 있다. 사실 둘 다 드는 힘은 똑같다."
두려움 불안 고민 걱정,다른 사람들이 해낸 일을 당신은 할 수 없다고 말하는 존재는 다름 아닌 마음 깊숙이에서 당신을 대신해 말하고 있는 두려움이다.
노력 꾸준 의지 포기 실패 성공,당신이 실패하는 유일한 길은 노력을 포기하는 것임을 기억하라. 포기하지 않으면 실패가 아니다.
시작 행동 실천 실행,떨리면 떨면서라도 시작하라. 하지만 반드시 시작해야만 한다.
최선 노력 삶 미덕,"작은 하나하나의 삶의 현장에서 최선을 다하는 것, 그것만이 우리 삶의 의미를 일깨워주고 우리의 존재를 확인시켜주는 최고의 선이다."
이해 배려 증오 저주,"주면 받는다는 원칙이 있다. 그러므로 남을 저주하면, 나한테 저주가 오는 것이 당연한 귀결이다. 우리는 우리가 원하는 물건에 대해서는 언제나 그 값을 치러야하는 것처럼, 남에게 영향을 끼쳤다면 반드시 그 대가가 내게 되돌아오고 만다. 에머슨"
사랑 이별 헤어 헤어지 헤어짐,사랑이 깨지는 것보다 더 두려운 것은 사랑이 변하는 것이다. 니체
사랑 이해 배려 미덕,"원하는 것이 없는 사랑, 이것이 우리 영혼의 가장 높고, 가장 바람직한 경지이다. 헤르만 헤세"
응원 의욕 긍정 미래,"괜찮아, 괜찮아, 반드시 잘 될거야."
믿음 자기만족 긍정,나는 매력적이고 아름답다. 나만의 매력으로 빛나고 있다.
긍정 응원 의욕 위로,있는 그대로의 나라도 괜찮아.
용기 성공 두려움 실패 마음가짐 태도,"용기는 우리를 성공으로 이끌고, 두려움은 우리를 실패로 이끈다."
용기 성공 시작 실천 태도,신은 용기 있는 사람을 결코 버리지 않는다.
명예 용기 도전 시작 실천 실행 태도,돈을 잃는 것은 가벼운 손실이고 명예를 잃는 것은 중대한 손실이다. 그러나 용기를 잃는 것은 보상 받을 수 없는 손실이다.
인생 희망 의욕 응원 위로,위대한 희망이 사그라지는 것은 해가 지는 것과 같다. 그것은 인생의 빛이 사라지는 것과 다름없다. 매일 희망이라는 태양이 떠오르게 하자.
행복 불행 불운 성장 위로,커다란 행복을 느끼려면 큰 고통과 불행을 먼저 가져야 한다. 그렇지 않으면 이게 행복인지 어떻게 알겠는가.
불행 인생 삶 행복 위로,인생이라는 학교에는 불행이라는 훌륭한 스승이 있다. 그 스승 덕분에 우리는 더욱 단련된다.
노력 실천 실행 인생 시작,내 인생의 방해자는 언제나 나 자신이었다.
긍정 부정적 고민 불안 걱정,"나는 왜 되는 일이 없을까' 살면서 자주 이런 고민을 한다. 그런데 생각해보면 되는 일이 없었던 것이 아니라, 되게 한 일이 없었다는 것을 알 수 있다."
그립 그리움 그리워 진심 관계 사람 인간,"이유 없이 안기고 싶을 때가 있는 것처럼, 가끔은 마음이 통하는 사람이 그립다."
실천 실행 행동 계획 시작 노력,"생각만 하는 사람의 삶은 스스로 공부하는 삶에 비하면 사소하고, 보이지 않는 것을 보기 위해 발돋움하고 바라보는 일은 실제로 올라가 바라보는 것만 못하다."
뜻 길 인생 삶 의지 의욕 마인드 태도,"뜻은 높은 곳에, 마음은 낮은 곳에 두라."
두려움 불안 고민 걱정 의지,"다가오는 두려움을 피하지 않고, 찬찬히 섬세하게 들여다볼 수 있다면, 어떤 거친 흐름 앞에서도 당당할 수 있다."
배움 배울 인간 관계 인생 삶 자연,"한 사람만 만나도, 자연의 한 풍경만 스쳐도, 우리가 존경할 것이 가득하다."
실패 인생 도전 용기 위로 의욕,실패란 인생이라는 여정에서 단지 게임에서 한 판 진 것일 뿐. 다시 일어서서 즐기자.
위로 의욕 의지 태도 마인드,세상에 아프지 않은 사람은 없다. 단지 덜 아픈 사람이 위로할 뿐이다.
마음 마음가짐 마음상태 상태,내 기분이 좋으면 세상이 좋아보이는 것이다. 어찌 보면 세상은 내 마음의 눈만큼 보이는지도 모른다.
행동 증명 실천 실행 태도 말보다,말하지 말고 행동하세요. 말하지 말고 보여주세요. 약속하지 말고 증명하세요.
마음 아픈 아파 아프 슬픈 슬프 슬퍼,늘 태평해 보이는 사람도 마음의 밑바닥을 둘러보면 어디에선가 슬픈 소리가 난다. 나쓰메 소세키
행복 불행 불운 행운 극복 괴로움,행복만을 추구하는 마음이 비극을 불러들입니다. 행복은 슬픔과 괴로움을 극복한 마음이 만들어내는 것입니다. 마하트마 간디
삶 인생 방향 꾸준 의지,삶이란 끝없이 옆길로 새는 것이다. 원래 어디로 향하려 했는지 돌아보는 것조차 허용되지 않는다. 프란츠 카프카
인내 참는 의지 노력 경험 치유,고뇌는 그것을 처음부터 끝까지 모조리 경험해야만 치유된다. 마르셀 프루스트
위로 용기 의욕 저하,모두가 이기는 것이 좋다는 말을 들어왔다. 하지만 나는 이렇게 말하고 싶다. 지는 것도 좋다고. 윌터 휘트먼
절망 불운 불행 시작 태도,절망은 사람들이 절대적인 것을 찾아내기 위한 참된 출발점이다. 키르케고르
아프 아픈 아파 아픔 슬프 슬픈 슬퍼 슬픔 인내 버텨 버티 견디 견뎌,모든 슬픔은 그것을 이야기로 만들거나 그것에 대해 이야기 할 수 있다면 견뎌질 수 있다. 이자크 디녜센
환경 배경 어둠 캄캄 인내 의지 노력,깨끗한 것은 언제나 더러운 것 속에서 생겨나며 눈부시게 빛나는 것은 언제나 어둠 속에서 생겨난다. 채근담
목표 목표설정 시작 의욕 도전,목표가 확실한 사람은 아무리 거친 길에서도 앞으로 나갈 수 있지만 목표가 없는 사람은 아무리 좋은 길이라도 앞으로 나갈 수 없다. 토머스 칼라일
도전 의욕 용기 실행 실천 도전의식,나는 항상 내가 할 수 없는 것을 한다. 그렇게 하면 할 수 있게 되기 때문이다. 파블로 피카소
고민 진실 거짓,어떻게 말할까'하고 괴로울 때는 진실을 말하라. 마크 트웨인
자기애 자기만족 자신 믿음 마인드 태도,자신을 향해 웃는 것은 살면서 배워야 할 가장 중요한 능력이다. 캐서린 맨스필드
열정 정열 꾸준 인내 의지 노력,정열은 강이나 바다와 비슷하다. 얕은 것은 소리를 내지만 깊은 것은 침묵을 지킨다. 알베르 카뮈
일상 노력 꾸준 계속 변화 작은,큰 변화를 꿈꿀 때 일상의 작은 변화들을 결코 무시해서는 안된다. 일상의 작은 변화들이 쌓여 전혀 예기치 못한 큰 변화가 이루어진다. 라이트 이델먼
능숙 즐거 열심 방향 노력 결과,일에서 즐거움의 비밀은 '탁월함'이라는 단어에 담겨 있다. 어떤 것을 능숙하게 해내는 방법을 아는 것이 그 일을 즐기는 길이다. 펄벅
꿈 도전 용기 의욕 의지 태도,당신의 꿈이 단 한 번도 실현되지 않았다고 해서 스스로 안타깝고 서글프게 생각해서는 안된다. 정말 안타깝고 서글픈 일은 한 번도 꿈을 꾸어보지 않았던 사람들이기 때문이다. 에센 바흐
준비 꿈 용기 의욕 의지 태도,창공을 나는 새도 날개를 접어야 다시 힘을 길어 날 수 있다.
인내 참는 의지 노력 열정 꾸준,어떤 위대한 일도 하루 아침에 이루어지지 않는다. 에피테토스
마인드 생각 태도 마음 마음가짐 성공,우리가 무슨 생각을 하느냐가 우리가 어떤 사람이 되는지를 결정한다. 오프라 윈프리
이겨내 고통 불운 불행 마음 마음가짐 태도,"세상은 고통으로 가득 차 있지만, 한편 그것을 이겨내는 일로도 가득 차 있다. 헬렌 켈러"
의욕 의지 용기 도전 실행 실천 태도 마음 마음가짐,"사람들은 의욕이 끝까지 가질 않는다고 말한다. 뭐 목욕도 마찬가지 아닌가. 그래서 매일 하는거다. 목욕도, 동기부여도. 지그 지글러"
행동 실천 의욕 변화 성장 실행 태도,엄청난 행동량은 내가 직접 통제할 수 있는 유일한 것이다.
마인드 생각 태도 마음 마음가짐 역경 이겨내,역경의 시기에도 내 행동만은 내가 좌우할 수 있다.
행동 실천 의욕 변화 성장 실행 태도 성공,당신의 행동력은 성공 가능성을 결정하는 중요한 요소다.
버티 버팀 버틸 고통 노력 인내 꾸준 의지,"고통의 시간은 결국 지나가며, 버팀의 시간은 결코 배신하지 않는다. 이광형"
동기부여 동기 습관 태도 의욕 인내,동기부여가 시동을 걸고 습관은 계속 가는 추진력이다. 짐 론
인생 삶 위로 용기 태도 의욕,인생은 혼자서 만드는 프로젝트라는 사실을 깨닫게 되는 데에 반평생이 걸린다. 나폴레온 힐
진지 열정 노력 꾸준 인내 성공 버티 버팀,"아무리 뛰어나고 치밀한 각본을 쓴들, 그 내용을 현실로 만들고 싶다면 진지한 열의가 필요하다는 사실을 기억하라."
두려움 불안 고민 걱정 의욕 응원 위로,위대한 것으로 향하기 위해 좋은 것을 포기하는 것을 두려워하지마라. 존 록펠러
노력 이겨내 성취 꾸준 인내 용기 위로,이전에 한 번도 성취한 적이 없는 것을 성취하려면 이전에 한 번도 되어본 적이 없는 사람이 되어야 한다. 레스 브라운
행동 자기믿음 실천 실행 행동 용기 시작,삶에서 가장 중요한 것은 행동이다. 무언가를 더 일관적으로 행동에 옮길수록 자신을 더 믿게 될 것이다.
타이밍 최적 시작 지금 당장 계획 용기,"완벽한 시기나 완벽한 계획, 완벽한 순간이란 존재하지 않는다. 지금이 바로 최적의 시기이다."
행동 실천 실행 시작 두려움 불안 고민,새로운 미래를 원한다면 그 미래에 걸맞게 행동하라. 아무리 두려워도 그냥 시작하라.
꾸물거 성공 망설 망설임 실행 실천 행동,성공하지 못한 사람들의 한 가지 공통점은 꾸물거린다는 사실입니다. 누가 불러도 벌떡 일어나서 달려나오는 일이 없습니다. 망설이고 꾸물거리다 끝나는거예요. 정채봉
애쓰 자기만족 위로 응원 불안 걱정,"오늘의 일은 오늘의 일로 충분하다. 너, 너무도 잘하려고 애쓰지 마라. 나태주"
실수 위로 응원 불안 걱정 의욕,가끔은 실수하고 서툴러도 너는 사랑스런 사람이란다. 나태주
과거 지금 시작 의욕 걱정 불안 새출발,비록 아무도 과거로 돌아가 새 출발을 할 수는 없지만 누구나 지금 시작해서 새로운 엔딩을 만들 수는 있다.
걱정 불안 의욕 응원 위로 희망,걱정마세요. 지금의 나는 할 수 없을지 몰라도 내일의 나는 할 수 있으니까요. 김영조
희망 포기 응원 위로 절망 좌절,포기하지 말라 저 모퉁이만 돌면 희망이란 녀석이 기다리고 있을지도 모른다. 사이토 시게타
희망 포기 응원 위로 절망 좌절,뭔가를 할 수 없다고 말하는 사람이 있는가 하면 그것을 하는 사람이 있다. 애런 코헨
역경 시련 극복 희망 인내 끈기,성공은 어려움이나 실패가 없는 상태가 아니라 역경과 시련을 극복해낸 상태를 말한다. 김주환
행복 노력 끈기 희망 도저히,"행복은 더 가졌을 때가 아니라, 현명하게 포기할 때 찾아오는거야."
후회 아쉬 이미 태도 응원 위로,지나간 일을 떠올리지 말 것. 이미 일어난 일들을 후회하지 말 것. 바꿀 수 없는 것들을 아쉬워하지 말 것. 김수민
아픔 아픈 아파 캄캄 어두 희망 응원,고장 난 건 고쳐지고 아픔은 치유됩니다. 그리고 아무리 어두워도 태양은 다시 떠올라요.
마인드 마음 마음가짐 태도 응원 위로,중요한 것은 외부 사건이 아닌 나 자신의 마음이다. 이것만 기억한다면 다시 힘을 낼 수 있다.
결과 인내 끈기 꾸준 노력 버티 열정 열심,결과는 하룻밤이 아니라 시간이 지나면 나타납니다. 열심히 일하고 일관성을 유지하고 인내하세요.
방법 태도 마인드 마음 마음가짐 방향,"짊어지는 무게가 아닌, 짊어지는 방법이 중요해요."
선택 의지 의욕 위로 실행 선택,아무것도 바뀌지 않는다고 해도 당신은 무언가를 선택하고 있다.
위로 응원 의욕 동기 동기부여 불안,사람들에게는 저마다의 바다가 있고 사람에게는 저마다의 파도가 있기 마련이지.
위로 응원 의욕 동기 동기부여 불안,우리는 한낱 사람이라서 일렁였고 고작 사람이었기 때문에 글썽일 수 밖에 없는거야. 김민준
자신감 마인드 마음 마음가짐 태도 의욕,일단 자신감을 가장하는 데 능숙해지면 자신감있는 신체 언어 때문에 뇌가 정말로 자신감을 느끼게 된다.
자신감 마인드 마음 마음가짐 태도 의욕,스스로 멋져보인다고 생각하면 다른 사람들도 그런 분위기를 알아차리고 가던 길을 멈추고 돌아본다.
포커페이스 마인드 마음 마음가짐 태도 의욕,무표정한 얼굴에 감정을 감추고 있다고 생각할 때도 내면의 감정은 여전히 밖으로 새어나간다. 그러므로 내면의 감정 자체를 좋게 유지해야한다.
세월 연륜 나이 인생 삶 태도 마음가짐 마인드,세월에 저항하면 주름이 생기고 세월을 받아들이면 연륜이 생긴다. 박웅현
지금 당장 순간 행복 마인드 마음가짐 태도,언젠가는'이라는 환상에 속지 마라. 뇌가 행복을 느낄 수 있는 건 '지금 이 순간'뿐이다. 더 큰 행복이 언젠가 오는 게 아니다. 작아도 지금 이 순간의 행복을 느껴야 한다. '행복은 구하는 것이 아니라 발견하는 것이다' 이시형
자신감 마인드 마음 마음가짐 태도 의욕,삶은 자신을 찾는 일이 아니라 자신을 만드는 일이다.
창조 휴식 불안 걱정 고민 창작 고통,창조는 '쉼'의 순간에 터진다.
무기력 의욕 실행 도전 실천 시작 응원,의욕은 행동의 필수조건이 아니다. 의욕이 있건 없건 움질일 수 있고 움직이다 보면 의욕이 생긴다. 무기력에서 벗어나는 가장 좋은 방법은 생각을 멈추고 일단 무작정 움직이는 것이다.
소소한 사소한 행복 불행 불운,행복은 '강도'가 아니라 '빈도'에 있다.
희망 포기 응원 위로 절망 좌절,소원이 이루어진다는 희망만 품어도 뇌 속에서는 벌써 행복 물질이 분비된다.
부정적 고민 걱정 불안 잡생각 부정,사람은 하루에 6만 가지 생각을 하는데 그중 95%가 그 전날 혹은 그 전전날에 했던 생각이다. 그리고 그중 80%가 부정적인 생각이다.
행복 불행 성공 실패 마인드 태도 마음가짐,행복과 불행은 같은 지붕밑에 살고 있으며 성공의 옆방에 실패가 살고 있다.
목적 운명 목적의식 의식 숙명 인생 삶,목적이 없으면 삶의 많은 것들이 우연에 그치지만 목적이 있으면 우리는 그것을 숙명으로 맞이할 수 있다.
행복 불행 불운 행운 성공 응원 동기,성공이 행복의 열쇠가 아니라 행복이 성공의 열쇠다. 슈바이처
인간 인간관계 관계 방법 방향 인생,떨어져 있을 때의 추위와 붙으면 가시에 찔리는 아픔 사이를 반복하다가 결국 우리는 적당히 거리를 유지하는 법을 배우게 된다. 쇼펜하우어
인간 인간관계 관계 방법 방향 인생,불을 대하듯 사람을 대하라. 타지 않을 정도로 다가가고 얼지 않을 정도로 떨어져라. 존 케네디
인생 삶 위로 용기 태도 의욕 노력,짐을 덜어달라고 빌기보다는 강한 어깨를 달라고 기도하라. 어거스턴
자유 이겨내 이겨낼 마인드 마음가짐 태도,자유에 대한 가장 그릇된 생각은 장애를 벗어나서 자유로워지는 것이다. 알랭 드 보통
무모 성실 노력 인내 의지 도전 용기,머리만 좋다고 모두 대단한 업적을 내는 건 아니다. 섬광처럼 빛나는 천재성보다 성실함과 약간의 무모함이 때로 더 큰 빛을 낸다. 최재천 교수의 조선일보 칼럼 중
시작 용기 당장 지금 망설 실행 실천 행동,고민은 어떤 일을 시작했기 때문에 생기기보다 일을 할까 말까 망설이는 데서 주로 비롯된다. 버드런드 러셀
시작 용기 당장 지금 망설 실행 실천 행동,"나는 내 인생의 마지막 순간에 지나온 세월을 되돌아보면서 이렇게 말하리라는 것을 알고 있다. '젠장, 더 많은 행동을 취했어야 하는데' 다이애나 본 웰라네츠"
자기애 자기만족 자신 믿음 마인드 태도,자신을 향해 웃는 것은 인생을 살면서 대단히 중요한 능력이다. 캐서린 맨스필드
지혜 현명 마인드 마음가짐 태도 용기 응원,지식을 얻으려면 하나씩 더 쌓으라. 지혜를 얻으려면 매일 하나씩 버려라. 노자
사랑 이별 헤어 헤어지 헤어져 고민,전부를 걸 수 있을 만한 사람이 나타났다면 사랑을 시작하라. 긴 인생에서 잘난 당신이 조급해 할 것이 뭐가 있나.
행동 실천 실행 시작 두려움 불안 고민,죽음을 두려워하지 말라. 우리가 살아 있을 때 죽음은 없고 죽음이 닥쳤을 때 우리는 없다. 에피쿠로스
부지런 게으르 게으름 게으른 성공 실패 도전,번거로움에서 벗어나는데는 고요함만 한 것이 없고 졸렬함을 벗어나는 데는 부지런함만 한 것이 없다. 퇴계 이황
실패 변명 이유 도전 용기 노력 끈기 인내,모든 실패에는 1천가지 변명이 있지만 그럴싸한 이유는 한 가지도 없다. 마크 트웨인
사랑 미덕 마인드 마음가짐 태도 응원 위로,사랑은 절대 오류와 실수가 없다. 모든 사랑의 실수는 사랑 부족에서 오기 때문이다. 윌리엄 로
인간 관계 인간관계 위로 표현 마음 사랑,어떤 새도 날개를 펴지 않고는 날 수 없다. 인간도 마음을 드러내지 않고는 사랑할 수 없다. 마크 네포
